Arist(s) Name,Track Name,Album Name,Length,SpotifyID,ISRC
Nakary; Sasha; Yevian; Baby Records; Zion & Lennox , METALES (feat. Baby Records & Zion & Lennox) , METALES (feat. Baby Records & Zion & Lennox) , 00:05:30 , 048xaRPO2C3O9al7cgpXfb , ZZOPM2237139
Trueno; J Balvin , UN PASO , UN PASO , 00:03:12 , 4LUzWf03uKUeEKvo6FbhV0 , ARH7D2200006
Big Soto; Mora; ARON; Neneto , Serotonina , Serotonina , 00:03:54 , 5tENzpT5sqDRc0EXQf1k6o , QM6N22298537
Outkast , Ms. Jackson , Stankonia , 00:04:30 , 0I3q5fE6wg7LIfHGngUTnV , USLF20000357
The Weeknd , Less Than Zero , Dawn FM , 00:03:31 , 2D4dV2KXDTszzJ3p3cFqhA , USUG12106698
Piso 21; Manuel Turizo , Los Cachos , Los Cachos , 00:03:32 , 5fhcuVxuBWfgNXGuyAtLmr , MXF152200437
Jay Wheeler; Mora , Suelta , Suelta , 00:04:03 , 7kN7u1ZDOrNBKcEEGwGeDY , USUYG1433055
Feid , Normal , Normal , 00:02:51 , 2z9YkcLojiOE7Eu2p9lPZR , USUM72211935
Wisin; Camilo; Los Legendarios , Buenos Días , Multimillo, Vol. 1 , 00:03:19 , 79NdVoSxUC2XC48eg0ifMy , USSD12100941
Wisin; Yandel; Los Legendarios , Extraño , Multimillo, Vol. 1 , 00:03:27 , 4G1tSRt0EPwObQE4KILRwE , USSD12100937
Wisin; Lyanno; Los Legendarios , Adicta , Multimillo, Vol. 1 , 00:03:42 , 6vPdyYiVrpA0uDV9xT6t0G , USSD12100938
Wisin; Jhay Cortez; Ozuna; Los Legendarios , Emojis de Corazones (feat. Los Legendarios) , Multimillo, Vol. 1 , 00:05:03 , 67Vr9gRYbeJkzNKrBoeWnC , USSD12100636
Wisin; Chimbala; Los Legendarios , Me Siento Bien , Multimillo, Vol. 1 , 00:04:16 , 1NHnuko5D0e6SBGP5Mw2xC , USSD12100665
Wisin; Gotay "El Autentiko"; Chris Andrew; Los Legendarios , Cerramos los Ojos (feat. Los Legendarios) , Multimillo, Vol. 1 , 00:03:27 , 1nfE2EYcayqAN8llXWu1ma , USSD12100663
Deorro; Gigolo Y La Exce , Adicto (feat. Gigolo y La Exce) , ORRO , 00:03:20 , 2L6rsP2nThuVySclwSUkBT , USUS12200205
Wisin; Chris Andrew; Alejo; Los Legendarios , Volar (feat. Los Legendarios) , Multimillo, Vol. 1 , 00:03:33 , 1Oxom2DBK8OZ79rlnGnqx2 , USSD12100667
Shakira; Rauw Alejandro , Te Felicito , Te Felicito , 00:02:52 , 2rurDawMfoKP4uHyb2kJBt , USQX92201764
Prince Royce; Maria Becerra , Te Espero , Te Espero , 00:04:06 , 46GsFW8AFIvi8TUDlYRlXR , QZUFT2210000
CNCO , No Apagues la Luz , No Apagues la Luz , 00:03:12 , 6pjI7aowZWafS1BDOFfENc , USSD12200590
Prince Royce; Nicky Jam; Jay Wheeler , Si Te Preguntan... , Si Te Preguntan... , 00:03:43 , 20yLo8tCAM1LXixAdBf3f2 , QZUFT2210003
Yandel; Maluma; Eladio Carrion , Nunca y Pico , Nunca y Pico , 00:03:23 , 0GcToAAsQocPVkbVvsORj1 , QM6MZ2273729
